NCHILD,NCHLT5,SEX,AGE,MARST,RACE,RACED,HISPAN,EDUC,EMPSTAT,INCWAGE,VETSTAT
2,0,2,53,4,8,826,4,7,1,140000,1
0,0,2,20,6,8,826,4,7,1,24000,1
0,0,2,19,6,8,826,4,7,1,4000,1
3,0,2,46,1,4,400,0,2,1,30000,1
3,0,1,52,1,4,400,0,2,1,75000,1
2,1,1,35,1,9,976,0,11,1,250000,1
2,1,2,35,1,6,620,0,11,1,250000,1
2,0,2,48,1,1,100,0,10,1,9000,1
2,0,1,53,1,1,100,0,11,1,150000,1
0,0,1,61,1,1,100,1,5,1,21000,1
2,0,1,55,1,6,620,0,11,1,42000,1
2,0,2,51,1,6,620,0,10,1,8000,1
1,0,2,58,4,9,907,1,6,1,39800,1
1,0,1,38,6,1,100,0,4,1,4700,1
3,0,2,30,3,8,826,1,6,1,20000,1
0,0,1,42,6,1,100,0,7,1,125000,1
0,0,2,33,1,1,100,0,10,1,60000,1
0,0,1,34,1,1,100,0,10,1,90000,1
1,0,2,53,4,5,500,0,11,1,89000,1
0,0,1,48,1,8,868,0,11,1,70000,1
0,0,2,48,1,8,868,0,11,1,3000,1
0,0,1,65,1,8,826,1,6,1,40000,1
0,0,2,58,1,1,100,0,6,1,12000,1
0,0,2,60,1,1,100,0,7,1,155000,1
0,0,2,65,4,7,700,1,7,1,25000,1
0,0,2,37,6,7,700,1,7,1,90000,1
3,1,1,48,1,8,826,1,6,1,144000,1
1,0,1,48,1,4,400,0,11,1,280000,1
1,0,2,49,1,4,400,0,11,1,150000,1
0,0,1,29,6,8,802,2,11,1,56000,1
0,0,1,58,6,6,600,0,11,1,80000,2
0,0,2,65,1,1,100,0,11,1,50000,1
0,0,2,30,6,7,700,1,6,1,27000,1
0,0,1,31,6,7,700,4,6,1,50000,1
0,0,1,27,6,7,700,1,0,1,30000,1
0,0,2,50,6,5,500,0,7,1,100000,1
0,0,2,52,4,2,200,0,7,1,14400,1
0,0,2,54,6,2,200,0,7,1,12000,1
